folder,file_count
"Hans von Aachen","1"
"Willem Key","1"
"Guilliam van Nieulandt","1"
"Anton Mirou","1"
"Orazio Borgianni","1"
"Jan Symonsz Pynas","1"
"Meester van de Amsterdamse Bodegón","1"
"Frans Francken , Hieronymus Francken","1"
"Pieter Cornelisz. van Rijck","1"
"Herman van Vollenhoven","1"
"Jacob Vosmaer","1"
"Hans Savery","1"
"Johannes Torrentius","1"
"Aegidius Sadeler","1"
"Hendrick van Someren","1"
"Jacob Jacobsz van Geel","1"
"Gillis Peeters","1"
"Jan ter Borch","1"
"Hans Horions","1"
"Gerrit Dou, Nicolaes Pietersz Berchem","1"
"F. Jansen","1"
"Pieter Danckerts de Rij","1"
"Andrea di Leone","1"
"Harmen Willems Wieringa","1"
"Frans Hals, Pieter Codde","1"
"Willem van der Vliet","1"
"Willem Ormea","1"
"Workshop of Cornelis Engebrechtsz.","1"
"Antonio D'Este","1"
"Workshop of Bernard van Orley","1"
"Bernardino Nocchi","1"
"Conrad Faber","1"
"Ricard Canals y Llambí","1"
"Bartel Bruyn, the elder","1"
"Leopold Schmutzler","0"
"Charles-Joseph Panckoucke","0"
"Vincent Giarrano","0"
"Vereker Monteith Hamilton","0"
"Walter Linsley Meegan","0"
"Georg Heinrich Busse","0"
"Zdzisław Beksiński","0"
"Edouard Bernard Debat-Ponsan","0"
"Édouard-Marie-Guillaume Dubufe","0"
"Max Svabinsky","0"
"Arthur Hopkins","0"
"Cesare Mariani","0"
"Caesar Van Everdingen","0"
"Hughes Taraval","0"
"Leopold Schutzier","0"
"Adolf Werner","0"
"Edwin Longsden Long","0"
"Maurice de Lambert","0"
"John Bulloch Souter","0"
"Ernst Karl Eugen Koerner","0"
"Salvador Dali","0"
"Alex Alemany","0"
"George Dunlop Leslie","0"
"Reginald Arthur","0"
"Raffaelo Monti","0"
"Les Edwards","0"
"Norman Lindsay","0"
"Charles Holloway","0"
"Esao Andrews","0"
"Gaspard Fossati","0"
"Ernst Fuchs","0"
"Ferdinand Leeke","0"
"François de Nomé","0"
"Louis Icart","0"
"Peder Mørk Mønsted","0"
"Adolphe Valette","0"
"André Castaigne","0"
"Herbert Gustave Schmalz","0"
"Léon François Comerre","0"
"Angelo Josef Graf von Courten","0"
"Thomas Kinkade","0"
"Franz Richard Unterberger","0"
"Maximilián Pirner","0"
"Paul Chabas","0"
"Astounding Stories","0"
"Joseph Tomanek","0"
"James Hayllar","0"
"Nina M. Davies","0"
"Rudolphe Bel","0"
"Thomas Hazlehurst","0"
"Louis-Marie Dulieu de Chenevoux","0"
"François Meuret","0"
"Jacopo Palma the Younger","0"
"Karl Theodor von Piloty","0"
"Dulieu du Chenevoux","0"
"Samuel Wallin","0"
"Netherlandish Painter","0"
"Pol Bury","0"
"Jean Tinguely","0"
"Raymond Mason","0"
"Marisol Escobar","0"
"Rachel Whiteread","0"
"Yaacov Agam","0"
"Antoine Bourdelle","0"
