constituentid,name,image_count
20021,"Andrew M. Brown",82
23325,"Stephen Daiter Gallery",82
39058,"John Gossage",82
7662,"Geoffrey Holt",81
2910,"Garo Antreasian",81
539,"Herman Shickman Gallery",81
47466,"Ives-Sillman",81
4994,"Peter Milton",81
1003,"Mr. and Mrs. Roger Sonnabend",81
51605,"Karl August von Brentano",81
51609,"Secretarius Heinrich Hagen",81
51611,"William Wesley & Son",81
51617,"Frederick Startridge Ellis",81
22953,"Friedrich August II, King of Saxony",80
2200,"Moderno",80
2704,"Bernard Reder",80
5381,"Louis Conrad Rosenberg",79
18607,"Kelpra Studio",79
33,"Mrs. Ruth Carter Stevenson",79
25704,"Kenneth Farley",79
23801,"Galerie Gerda Bassenge",79
28886,"Madoka Takagi",79
31531,"The Diana and Mallory Walker Fund",79
42683,"The Honorable William H.G. FitzGerald, Mr. Desmond FitzGerald, and Mr. B. Francis Saul II, c/o The New York Studio School",79
2776,"Giovanni Domenico Tiepolo",78
4959,"Claude Mellan",78
7323,"Carl Buergerniss",78
3752,"Daniel Nikolaus Chodowiecki",78
223,"Mrs. Winthrop Murray Crane",78
4023,"Fritz Eichenberg",78
2047,"Alexander Calder",78
1594,"E.P. Goldschmidt",78
1086,"Mr. and Mrs. Samuel A. Stern",78
20260,"Mr. Edmund Louis Gray Zalinski II",78
1927,"Giovanni Battista Tiepolo",77
8098,"Robert Stewart",77
6702,"Sandro Chia",77
28891,"Edward Sheriff Curtis",77
10285,"Ed Grazda",77
2563,"Maerten van Heemskerck",76
2362,"Johann Wilhelm Baur",76
915,"Galerie Würthle",76
403,"Edward E. MacCrone Fund",76
13553,"Berenice Abbott",76
34557,"Robert Lehrman",76
38331,"Gallery Rob Kattenburg",76
48058,"Frédéric de Pourtalès",76
7232,"Ruth M. Barnes",75
7671,"J. Howard Iams",75
7667,"Mary E. Humes",75
820,"Galerie R.G. Michel",75
4353,"David Hockney",75
9672,"Virginia Dwan",75
50234,"Estate of Robert Brownlee and William Jordan",75
8546,"Princes of Liechtenstein",74
7692,"Annie B. Johnston",74
2426,"Giovanni Benedetto Castiglione",74
680,"Monsieur Arsene Bonafous-Murat",74
48701,"Alan Holoubek",74
22023,"James Robertson",74
38169,"Heavy Industry Publications",74
3580,"Abraham Bosse",73
4753,"Louis Lozowick",73
4273,"Philip Guston",73
16158,"Stephen Hahn",73
106,"Mrs. Rudolf J. Heinemann",73
13969,"Professor René Huyghe",73
1221,"Eugène Delacroix",72
5422,"Aegidius Sadeler II",72
7368,"Beverly Chichester",72
858,"Mr. and Mrs. Milton M. Rose",72
6891,"Tony Cragg",72
1469,"Mr. and Mrs. S. Michael Marcy",72
10392,"Adrien Chappuis",72
29299,"Paul Cézanne",72
28477,"Conrad Graeber",72
30413,"John Stocker",72
30528,"Zwirner & Wirth",72
31211,"David Seymour",72
54419,"Unknown",72
36525,"Bruce and Sharyn Charnas",72
6083,"John Russell Pope",71
2814,"Augustin de Saint-Aubin",71
8120,"Robert W.R. Taylor",71
854,"Bernard Quaritch Ltd.",71
2644,"Reginald Marsh",71
720,"Mr. William Dove",71
5561,"William Crutchfield",71
1544,"Valeria Bella Stampe",71
47115,"Keith Brintzenhofe",71
53659,"Berezdivin Collection",71
13586,"Baron Adalbert von Lanna",70
7982,"Edna Crenshaw Rex",70
7518,"Mildred Ford",70
3449,"Adja Yunkers",70
16819,"Susan MacGill",70
46023,"Mr. Joseph Cohen",70
8550,"J. Pierpont Morgan, Sr.",69
2829,"French 16th Century",69
7764,"Gertrude Lemberg",69
6150,"William Marshall",69
498,"Mrs. Fred Rieth",69
1723,"Captain Edward H. Molyneux",69
377,"Mrs. Joan A. Lees",69
53447,"Rolf Neumann",69
25770,"Claudio Stickar",69
6750,"Peter Henry Emerson",69
24950,"Lois Long",69
29562,"Nicolaas Teeuwisse OHG",69
1506,"Edouard Manet",68
7801,"Chris Makrenos",68
8178,"Paul Ward",68
4990,"Daniel Mignot",68
3645,"George Bunker",68
5037,"John Hamilton Mortimer",68
49774,"Richard Garst",68
6704,"R. B. Kitaj",68
1137,"Mr. and Mrs. David C. Ruttenberg",68
11114,"Antiquariaat Junk B. V.",68
15011,"Campbell Fine Art",68
37098,"Eric Gillis & Associates",68
8329,"Italian 17th Century",67
3456,"Reinier Nooms, called Zeeman",67
7211,"Charlotte Angus",67
8220,"Charlotte Winter",67
3962,"Werner Drewes",67
4740,"Francesco Londonio",67
43861,"Mr. Wolfgang Wittrock",67
1552,"The Circle of the National Gallery of Art",67
10323,"Paul Strand Archive, Aperture Foundation",67
10385,"Henri Mahaut",67
10033,"Trinity Fine Art Ltd.",67
18683,"Sylvan Cole",67
